Чек-лист и результаты выполнения тестов: тестирование окон «Способ оплаты» и «Добавление карты»,,,
,,,
№,Описание проверок,"Статус Окружение \\
Firefox 1920x1080",Ссылка на баг-репорт
,"Проверка окна ""Способы оплаты""",,
,При нажатии на поле Способ оплаты открывается окно Способ оплаты,PASSED,
,При нажатии на иконку Добавить карту открывается форма Добавление карты,PASSED,
,"При нажатии на иконку Плюс с левой стороны от иконки Добавить карту,откроется форма Добавления карты",PASSED,
,"проверка окна ""Добавление карты""",,
,проверка возможности добавить сразу несколько карт,PASSED,
,"Заполнить все поля окна ""добавления карты"" Номер карты : 999999666666 код : 12 и нажать кнопку Привязать,когда карта добавлена, в интерфейсе отображаются последние 4 цифры её номера.","FAILED


",https://tracker.yandex.ru/BUG-793706
,"Пробелы ставятся автоматически,по формату nnnn nnnn nnnn когда пользователь введёт номер и снимет фокус.","FAILED


",https://tracker.yandex.ru/BUG-780982
,"проверка поля ""Номер карты""",,
,"Ввести в поле Номер карты 000000000000,проверить что система дала ввести символы ",PASSED,
,"Ввести в поле Номер карты 999999999999 ,проверить что система дала ввести символы",PASSED,
,"Ввести в поле Номер карты 000000000001 ,проверить что система дала ввести символы ",PASSED,
,"Ввести в поле Номер карты 999999999998,проверить что система дала ввести символы",PASSED,
,"Ввести в поле Номер карты -000000000001,проверить что система не дала ввести символы не указанные в требованиях","FAILED


",https://tracker.yandex.ru/BUG-794657
,"Ввести в поле Номер карты 1000000000000,проверить что система не дала ввести больше 12 символов",,
,Ввести в поле Номер карты 11 символов(12345678911) в поле Код ввести 2 символа(12) Проверить что кнопка «Привязать» остаётся неактивной,PASSED,
,"Оставить поле ввода Номера карты пустым,проверить что система не дает привязать карту с не заполненным полем ",PASSED,
,Ввести в поле Номер карты $$$$$$$$$$$$ проверить что система не дала ввести символы,"FAILED


",https://tracker.yandex.ru/BUG-794675
,Ввести в поле Номер карты 999999(пробел)999999 проверить что система не дала ввести пробел,"FAILED


",https://tracker.yandex.ru/BUG-794699
,Ввести в поле Номер карты ТЕСТТЕСТРАЗРАЗ  проверить что система не дала ввести символы,"FAILED


",https://tracker.yandex.ru/BUG-794710
,"Проверка поля ""Код""",,
," в поле Код ввести 02,  система  дает ввести данные,тк символы попадают под указанный диапозон в требованиях",PASSED,
," в поле Код ввести 98,  система дает разрешение на ввод,тк символы попадают под указанный диапозон из требований",PASSED,
," в поле Код ввести 00, проверить что система не дает ввести значения","FAILED


","

https://tracker.yandex.ru/BUG-780950"
,"в поле Код ввести 01,  система дает разрешение на ввод ,тк символы попадают в указанный диапозон из требований",PASSED,
,"в поле Код ввести -1,проверить что система не дает ввести значения","FAILED


",https://tracker.yandex.ru/BUG-794739
,"в поле Код ввести 99,  система дает разрешение на ввод ,тк символы попадают в указанный диапозон из требований",PASSED,
," в поле Код ввести 101, проверить что система не дает ввести значения","FAILED


",https://tracker.yandex.ru/BUG-794753
," в поле Номер ввести 12 символов(888888888888) Код ввести один символ(1),проверить что кнопка ""Привязать"" не активна",PASSED,
," поле Код оставить пустым,проверить что кнопка ""Привязать"" не активна",PASSED,
,"в поле Код ввести ##,  проверить что система не дает ввести значения","FAILED


",https://tracker.yandex.ru/BUG-794765
,"в поле Код ввести TEST,  проверить что система не дает ввести значения","FAILED


",https://tracker.yandex.ru/BUG-794780
,"Проверка кнопки ""Привязать"" и ""Отмена"" в окне Добавление карты",,
,"В поле Номер карты ввести 888888888888,в поле Код ввести 12, кнопка ""Привязать"" меняет цвет с серого на голубой,данные можно отправлять на сервер для проверки",PASSED,
,"В поле Номер карты ввести 888888888888,в поле Код ввести 0,кнопка ""Привязать"" не активна ",PASSED,
,"В поле Номер карты ввести 8888888888887,в поле Код ввести 12,кнопка ""Привязать"" не активна",PASSED,
,"Поля Номер карты и Код оставить пустым- кнопка ""Привязать"" будет не активна",PASSED,
,"Проверить, что в форме Добавление карты при нажатии на кнопку Отмена форма закрывается",PASSED,
